GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Dalmarnock Family Medical Practice - Glasgow (46574),46574,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,84,69.25,0,30.75
Dalmellington Medical Practice - Dalmellington (80202),80202,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,83.86,0,16.14
Dalry Medical Practice - Dalry (80217),80217,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,76.9,0,23.1
Danderhall Medical Practice - Danderhall (77200),77200,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,69.04,0,30.96
Danestone Medical Practice - Aberdeen (31259),31259,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,87.63,0,12.37
Davidson's Mains Medical Centre - Edinburgh (70709),70709,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,94.36,0,5.64
Dedridge Medical Group - Livingston (78260),78260,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,89.36,0,10.64
Denny Cross Medical Centre - Denny (25173),25173,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,85.86,0,14.14
Dingwall Medical Group - Dingwall (55376),55376,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,126,89.89,0,10.11
Dollar Health Centre - Dollar (25210),25210,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,116,98.31,0,1.69
Dornoch Medical Practice - Sutherland (55201),55201,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,122,97.2,0,2.8
Douglas Street Surgery - Hamilton (63457),63457,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,121,58.8,0,41.2
Douglasdale Medical Practice - Douglas (62510),62510,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,127,94.94,0,5.06
Dounby Surgery - Orkney (38210),38210,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,89.88,0,10.12
Doune Health Centre - Doune (25224),25224,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,132,95.35,0,4.65
Downfield Surgery - Dundee (11823),11823,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,80.19,0,19.81
Dr  A Khan - Glasgow (40460),40460,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,99,0,1
Dr A Comiskey and Partners - Edinburgh (70639),70639,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,96.46,0,3.54
Dr A MacGregor & Dr N Hallum - Tighnabruaich (84773),84773,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,93.06,0,6.94
Dr A P Jackson & Partners - Glasgow (40351),40351,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,135,97.75,0,2.25
Dr A Porte & Partners - Motherwell (62717),62717,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,56.12,0,43.88
Dr A. Polding - Glasgow (43063),43063,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,83.61,0,16.39
Dr Alam's Surgery - Glasgow (52260),52260,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,70,88.47,0,11.53
Dr Ali & Dr Mackenzie - Glasgow (46023),46023,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,83.71,0,16.29
Dr Burton & Dr Krishnan - Glasgow (43082),43082,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,93,76.21,0,23.79
Dr C Mills & Partners - Glasgow (49074),49074,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,115,89.41,0,10.59
Dr C O'Neill - Isle of Coll (84097),84097,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,59,100,0,0
"Dr C P Fraser & Partners - Govanhill Health Centre, Glasgow (52039)",52039,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,80.47,0,19.53
Dr Carroll & Partners - Cumbernauld (61343),61343,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,131,52.94,0,47.06
Dr Cassidy & Partners - Johnstone (87343),87343,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,112,81.93,0,18.07
Dr Chalmers & Partners - Clydebank (40691),40691,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,111,63.67,0,36.33
Dr D.S.Dhami - Glasgow (46240),46240,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,104,93.42,0,6.58
Dr David F Troup & Partner - Arrochar (85009),85009,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,101,100,0,0
Dr Diane Kelly & Partners - Kirkintilloch (43100),43100,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,61.87,0,38.13
Dr DJ Clifford - Cumbernauld (61381),61381,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,83.13,0,16.87
Dr Ferguson & Partners - Glasgow (52128),52128,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,61.6,0,38.4
"Dr Friel & Dr Bagnall - Rutherglen Health Centre, Rutherglen (60181)",60181,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,98.83,0,1.17
"Dr G Smith & Partners - Govanhill Health Centre, Glasgow (49178)",49178,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,95,85.62,0,14.38
Dr GD Brough & Partners - Airdrie (62596),62596,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,118,59.08,0,40.92
Dr George Practice - Shotts (62897),62897,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,109,62.81,0,37.19
Dr Gordon Campbell & Dr Kirsten Halstvedt - Glasgow (43307),43307,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,110,47.67,0,52.33
Dr Haggerty - Glasgow (40281),40281,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,129,92.53,0,7.47
Dr Harris & Partners - Glasgow (43504),43504,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,102,81.31,0,18.69
Dr Ho Chong Teck - Glasgow (43468),43468,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,88,98.82,0,1.18
"Dr Hogan, Allen & Quinn - Greenock (86228)",86228,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,114,88.23,0,11.77
Dr I. Cullen - Glasgow (40188),40188,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,134,92.26,0,7.74
Dr JM Simpson & Partners - Hamilton (63481),63481,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,113,74.94,0,25.06
Dr K G Hardie & Partners - Glasgow (52359),52359,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,71.38,0,28.62
"Dr K Miller & Partners -  Lightburn Medical Centre, Glasgow (46201)",46201,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,91.06,0,8.94
Dr K N Lynn & Dr J M Mcdevitt - Dumbarton (85071),85071,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,105,66.32,0,33.68
Dr K Thompson - Lochgelly (21440),21440,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,88,55.99,0,44.01
Dr Kondol and Partners - Darvel (80787),80787,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,63.36,0,36.64
Dr Linda J Wright - Glasgow (49375),49375,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,87,89.44,0,10.56
Dr Lorna M Macgregor & Partner - Argyll (84006),84006,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,107,95.17,0,4.83
Dr M Duffy & Dr A Morgan - Glasgow (40722),40722,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,95,75.38,0,24.62
Dr M Khan - Glasgow (46151),46151,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,96,61.62,0,38.38
Dr M M Herbert & Partners - Hamilton (63423),63423,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,51.76,0,48.24
Dr M P Hamayun & Dr M R Masood - Glasgow (46396),46396,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,49,70.27,0,29.73
"Dr M Roushdy-Gemie & Dr M Smith - Yokermill Medical Centre, Glasgow (40390)",40390,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,92.86,0,7.14
Dr M Saleem - Glasgow (46447),46447,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,60,79.4,0,20.6
Dr M Showkat - Glasgow (43542),43542,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,87,72.95,0,27.05
"Dr M. M. Sharif & Dr M. T. Saleem - The Park Surgery, Glasgow (49712)",49712,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,90,86.18,0,13.82
Dr MacCuish Practice - Glasgow (52010),52010,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,93,83.16,0,16.84
Dr Mair & Partners - Glasgow (52241),52241,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,84,0,16
Dr Malcolm R Elder - Argyll (84063),84063,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,117,99.26,0,0.74
Dr McCulloch & Partners - Girvan (80289),80289,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,81.76,0,18.24
Dr McKeeve - Glasgow (52217),52217,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,108,93.09,0,6.91
Dr McLachlan & Partners - Helensburgh (85155),85155,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,116,87.14,0,12.86
Dr MV Church & Partners - Blantyre (63052),63052,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,119,74.74,0,25.26
Dr N G Kelly & Partners - Annan (18413),18413,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,116,81.38,0,18.62
Dr O Osibo - Airdrie (61170),61170,3,The GP Practice,How easy is it for you to contact your GP practice in the way that you want?,100,86.5,0,13.5
