gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
North Harris Medical Practice - Isle of Harris (90098),90098,S01009024,1271,87.02,99.13,96.22,3488,4359,4551,4799,5751,275,0.06,65,56.72,0,1.94,57.59,49.17,81
North Uist Medical Practice - Isle Of North Uist (90115),90115,S01009022,1403,94.68,98.34,97.1,3738,3829,4695,4989.5,4633,192,0.07,75,57.67,0,1.8,57.16,49.89,81
Northcote Surgery - Glasgow (40140),40140,S01010404,12937,81.59,76.13,97.61,5348.5,6416,6479,1460,6048,6630,0.02,35,68.78,1,11.32,72.37,50.65,69.8
Oak Lodge - Hamilton (63442),63442,S01012717,6969,41.43,86.59,80.63,1414,1332,1822,2658,4780,6242,0.16,140,56.04,1,4.55,64.31,50.65,76.9
Oak View Medical Practice - Alexandria (85403),85403,S01013228,9308,57.62,79.13,83.93,983,1055,982,1349.5,477,6398,0.17,155,67.62,1,1.71,64.3,51.28,72.8
Oakley Medical Practice - Fife (21613),21613,S01009270,8804,61.28,80.42,82.86,1354,1613,1683,1855,691,2563,0.14,145,60.75,1,2.18,63.51,50.23,70.4
"Oakwood Medical Practice, Glasgow (46221)",46221,S01010114,5253,55.45,81.27,75.19,31,41,13,546,38,6494,0.33,290,66.53,1,7.85,69.27,50.85,69.8
Ochil Medical Practice - Sauchie (25027),25027,S01007460,10417,57.8,80.84,79.01,1241,355,811,2182,1900,4987,0.24,180,61.64,1,2.34,65.24,50.55,72.9
Ochilview Practice - Stenhousemuir (25671),25671,S01009100,5907,57.81,73.52,81.82,1703,1521,907,2379,2619,6621,0.15,150,58.3,1,1.92,65.45,50.75,75.2
O'Connell Street Medical Practice - Hawick (16141),16141,S01012363,6080,58.27,74.71,80.56,1174,878,1345,2999,1599,6158,0.18,150,63.41,1,7.9,60.43,50.84,79.3
Old Kilpatrick Medical Practice - Glasgow (40065),40065,S01013176,5346,66.42,75.29,84.06,2267,2657,2022,1640,3249,5428,0.1,130,60.14,1,2.57,65.94,50.21,72.8
Old Mill Surgery - Viewpark (63828),63828,S01011540,8225,46.14,84.58,79.97,2818,2799,1508,1035,1939,5179,0.1,145,65.89,1,0.76,64.9,49.95,69.7
Oldmachar Medical Practice - Aberdeen (30504),30504,S01006667,18228,50.55,65.7,80.75,977,510,882,350,248,5434,0.22,175,70.4,1,27.13,69.56,49.3,71.8
"Orcades Practice - Kirkwall, Orkney (38239)",38239,S01011817,1961,94.4,97.48,95.25,4468,5083,5175,5842,5466,1187,0.04,60,59.96,0,0.96,56.04,47.63,83.7
Orchard House Health Centre - Stirling (25525),25525,S01013071,4127,85.92,84.9,95.29,6354,6719.5,6617,218,3787,6561,0.02,30,94.52,1,27.55,65.93,52.12,74.8
Orchard Medical Centre - Motherwell (62609),62609,S01011480,13070,47.55,84.13,79.54,4860,5577,4764,5378,5338,6410,0.03,65,61.03,1,2.72,66.65,49.82,69.7
Ormiston Medical Practice - Ormiston (76211),76211,S01008237,4108,87.15,94.66,98.7,2231,2332,3682,2052,4123,845,0.11,80,65.03,0,3.01,62.49,51.36,75.3
Orwell Practice - Kinross (13496),13496,S01011834,4063,93.67,94.32,97.14,5642,5862,6336,6890,6050,1221,0.03,50,59.79,0,1.99,60.5,50.9,75.3
Overtoun Medical Practice - Rutherglen (60139),60139,S01012860,4511,74.04,87.2,80.49,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,65.09,52.23,76.9
Oxenward Surgery - Ayrshire (80768),80768,S01011294,4399,69.63,92.16,87.69,517,280,366,2399,2427,6342,0.25,185,56.81,1,1.27,69.33,54.47,67.7
Park Avenue Medical Centre - Dundee (11005),11005,S01007729,4676,47.43,82.47,81.16,777,885,1004,80,461,6976,0.18,150,84.69,1,26.94,66.57,47.95,71.7
Park Avenue Medical Centre - Stirling (25582),25582,S01013060,7673,76.19,83.83,83.52,4456,3878,4041,6711,5865,3185,0.07,65,57.92,1,6.41,63.33,50.59,74.8
Park Road Practice - Rosyth (21760),21760,S01009367,6103,72.85,85.5,82.46,2909,3272,2850,2602,3465,5632,0.08,100,65.74,1,4.78,67.25,49.5,70.4
Park Terrace Medical Practice - Stirling (25506),25506,S01013060,7173,86.25,79.13,92.44,4456,3878,4041,6711,5865,3185,0.07,65,57.92,1,6.41,64.52,51.35,74.8
Parkgrove Medical Practice - Edinburgh (71401),71401,S01008949,3583,70.53,83.81,89.08,2968,3176.5,3079,2726,3631,4919,0.09,110,64.89,1,6.17,68.07,51.58,73.9
Parkhill Medical Practice - Falkirk (25460),25460,S01009214,12069,55.21,76.01,85.98,5029,4526,4680,6406,4739,2691,0.05,60,59.37,1,2.18,66.41,50.98,75.2
"Parkview Practice - Rutherglen Health Centre, Rutherglen (60196)",60196,S01012860,2042,80.1,94.79,88.21,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,70.08,50.05,76.9
Parkview Practice - Stenhousemuir (25402),25402,S01009100,5152,83.08,91.23,90.45,1703,1521,907,2379,2619,6621,0.15,150,58.3,1,1.92,64.32,50.8,75.2
Path House Medical Practice - Kirkcaldy (20998),20998,S01009526,11064,61.65,85.56,79.32,4289,4132,4778,4578,3608,4689,0.06,65,67.65,1,11.08,64.56,49.77,70.4
Pathhead Medical Practice - Pathhead (77125),77125,S01011019,6289,80.62,85.37,95.89,4050,4666,5251,4855,4472,583,0.05,55,65.41,0,3.98,65,50.72,77.4
Peel Street Medical Centre - Glasgow (40296),40296,S01010396,2063,59.93,80.53,83.14,2566,3305,2225,477,4444,6963,0.08,120,78.3,1,13.75,76.3,42.12,69.8
Peelview Medical Centre - Kirkintilloch (43114),43114,S01008133,10430,72.94,97.37,92.47,2536,1772,1872,4086,5582,6149,0.14,115,57.87,1,6.03,64.55,50.8,75.9
Penicuik Medical Practice - Penicuik (77111),77111,S01010936,11524,75.9,95.81,91.36,1931,1363.5,1615,2213,3849,6547,0.15,130,61.07,1,2.93,62.5,50.75,77.4
Pennan Practice - Glasgow (40084),40084,S01010435,2428,79.34,81,86.48,1314,2342,912,2766,2283,6738,0.11,175,64.81,1,8.36,70.1,50.7,69.8
Perth City Medical Centre - Perth (14291),14291,S01011943,9377,63.19,62.08,88.75,1067,898,936,200,840,5964,0.18,170,76.79,1,18.1,65.46,49.44,75.3
Peterculter Medical Practice - Peterculter (31244),31244,S01006511,8311,58.99,87.62,83.07,5469,5346,5783,5924,5410,4974,0.04,50,59.68,1,6.66,61.86,50.49,71.8
Peterhead Health Centre - Peterhead (31634),31634,S01007080,22546,41.78,62.87,75.9,1939,2090,2898,5237,1394,6809,0.12,120,59.25,1,6.71,65.58,50.26,79.5
"Pipeland Medical Practice - St Andrews, Fife (21830)",21830,S01009730,15371,68.44,75.45,87.6,5419.5,5188,4373,4264,4152,4937,0.04,65,57.65,1,14.88,74.87,54.47,70.4
Pitcairn Practice Leuchars & Balmullo - Fife (21204),21204,S01009745,4265,86.86,94,95.27,6304,5442,5336,5999,5712,2502,0.04,55,57.81,0,3.71,63.45,52.26,70.4
Pollokshaws Medical Centre - Glasgow (52429),52429,S01009935,9345,70.83,86.6,93.92,129,74,94,355,484,5996,0.31,250,65.16,1,8.82,68.75,49.15,69.8
Polmont Park Medical Practice (25441),25441,S01009214,7791,60.36,63.35,89.33,5029,4526,4680,6406,4739,2691,0.05,60,59.37,1,2.18,63.27,51.43,75.2
Polwarth Medical Practice - Edinburgh (71011),71011,S01008665,5400,76.99,92.97,88.7,3944,4528,4743,113,4770,6351,0.05,75,89.12,1,28.84,83.46,49.33,73.9
"Port Ellen Practice - Port Ellen, Isle of Islay (84345)",84345,S01007328,1309,88.44,92.42,94.12,3022,3862,3249,1400,3740,5987,0.07,80,60.63,0,2.84,62.26,51.26,75.8
Port Glasgow Medical Centre - Port Glasgow (86336),86336,S01010918,5099,75.18,73.32,92.01,1295.5,1529,1790,3161,1435,6277,0.15,140,56.87,1,1.09,67.31,50.05,68.2
Portland Medical Practice - Kilmarnock (80908),80908,S01008013,10491,47.52,81.88,78.14,1374,917,1390,2285.5,3935,5954,0.18,130,54.89,1,2.87,65.28,51.25,73
Portlethen Medical Centre - Aberdeen (32411),32411,S01006852,15476,82.18,88.06,91.72,6089,6274,6501,6679,5752,686,0.02,35,60.48,0,3.36,65.76,49.7,79.5
Portree Medical Centre - Isle Of Skye (55573),55573,S01010679,5464,86.4,93.83,96.37,3386,3627,3317,3850,4354,5218,0.07,85,59.62,0,3.78,61.53,50.53,78.6
"Practice B, Govanhill Health Centre - Glasgow (49041)",49041,S01009890,12107,68.87,67.38,85.48,1205,947,1649,41,1218,6973,0.18,140,63.96,1,36.17,74.02,44.92,69.8
Prestonpans Group Practice - Prestonpans (76122),76122,S01008204,9368,81.38,93.07,92.97,2468,2121,1723,4619,2165,6768,0.12,145,57.79,1,1.6,66.12,51.2,75.3
Primrose Lane Medical Centre - Fife (21755),21755,S01009364,9531,70.05,89.56,89.67,4447,4393.5,3975,5741.5,2703,1936,0.05,70,62.74,1,3.26,66.56,50.97,70.4
Princes Street Surgery - Dundee (11289),11289,S01007709,8763,70.37,91.59,82.1,1047,837,613,201,755,6551,0.19,155,79.48,1,17.18,69.03,49.33,71.7
Quarryfoot Practice - Bonnyrigg (77074),77074,S01010983,4710,72.05,89.29,85.42,3132,2908.5,2908,4417,3188,5380,0.09,100,62.77,1,3.08,61.57,51.3,77.4
Quarryside Medical Practice - Johnstone (87305),87305,S01012046,4405,56.16,89.37,81.88,710,528,485,1883,1231,6711,0.21,200,65.54,1,2.48,63.75,53.03,77.1
Queens Crescent Surgery - Glasgow (40154),40154,S01010295,7918,79.65,81.32,89.74,4170,5569,5934,255,3827,6731,0.03,40,87.93,1,39.84,78.09,49.14,69.8
Queens Park Medical Practice - Glasgow (49286),49286,S01009909,2974,80.75,89.01,93.13,3566,2760,3816,338,3788,6429,0.1,75,84.58,1,24.85,80.5,52.15,69.8
Racecourse Road Medical Group - Ayr (80096),80096,S01012484,8375,74.44,91.56,86.66,4229,3482,3544,6305,6362,6415,0.08,75,57.2,1,4.51,58.91,51.46,71.9
"Ratho Medical Centre - Ratho, Newbridge (71420)",71420,S01008994,3025,80.43,95.82,87.95,3141,3136,3651,1848,2281,3783,0.09,80,59.47,0,2.59,63.11,50.38,73.9
Ravenswood Surgery - Forfar (13195),13195,S01007259,3935,85.08,85.8,95.37,2652,2233,2247,2869,2620,6323,0.12,115,59.56,1,3.39,59.26,52.17,72.2
Ravenswood Surgery - Johnstone (87324),87324,S01012045,6581,68.89,89.16,87.01,1213,654,1253,2583,1307,6743,0.2,165,71.75,1,3.55,67.85,52.65,77.1
"Red Practice, Whitefriars Surgery - Perth (14249)",14249,S01011893,6999,62.96,80.04,90.13,3253,2407,3216,2998,4086,5998,0.11,105,69.1,1,6.24,65.97,49.21,75.3
Red Wing Medical Practice - Clydebank (40046),40046,S01013128,9131,58.83,75.09,81.91,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,66.77,51.47,72.8
Regency Medical Practice - Glasgow (49676),49676,S01009875,3207,77.73,89.4,94.98,922,1205,1186,114,2005,6135,0.16,185,66.63,1,58.13,72.65,45.46,69.8
Regent Gardens Medical Centre - Kirkintilloch (43030),43030,S01008133,10376,73.37,90.1,88.19,2536,1772,1872,4086,5582,6149,0.14,115,57.87,1,6.03,61.12,51.33,75.9
Restalrig Park Medical Centre - Edinburgh (70569),70569,S01008760,6146,58.2,79.61,82.48,270,248,276,1086,583,6857,0.25,240,70.38,1,15.07,74.06,49.97,73.9
Rinnes Medical Group - Dufftown (33057),33057,S01011049,2947,85.72,86.98,89.85,4248,4744,3991,5427,2290,3099,0.05,65,60.76,0,2.2,61.66,49.75,75.3
Riverside Medical Practice - Inverness (55841),55841,S01010631,10246,65.61,71.11,87.19,2710,3067,3202,1676,2414,3902,0.09,80,61.59,1,12.18,66.55,49.33,78.6
Riverside Medical Practice - Patna (80522),80522,S01007877,4087,63.97,95.27,88.25,1425,1237,277,3330,1992,2520,0.16,205,64.91,0,1.16,61.44,50.75,73
Riverside Medical Practice LLP - Musselburgh (76033),76033,S01008176,19695,21,64.87,72.5,4579,3917,5032,3729,4788,2903,0.07,50,61.35,1,5.91,68.17,51.98,75.3
Riverview Medical Practice - Wick (55131),55131,S01010781,7326,51.94,65.01,83.23,4752,4138,3526,5302,3383,6233,0.06,80,66.33,0,2.95,62.54,50.52,78.6
Rosehall Surgery - Shotts (62991),62991,S01011431,2800,67.38,89.41,74.36,1862,2247,1375,2128,1459,6905,0.12,165,61.6,1,1.41,65.46,52.93,69.7
Roslin Medical Practice - Roslin (77093),77093,S01010957,7223,70.96,85.47,88.77,5911,5696,5526,6243,5583,3772,0.03,45,57.33,0,4.82,63.98,51.78,77.4
Rothes Medical Practice - Glenrothes (20663),20663,S01009586,8759,58.83,89.52,88.24,2100,1714,1795,5166,2183,3886,0.14,135,55.59,1,2.35,63.4,50.36,70.4
Roxburgh Street Surgery - Galashiels (16013),16013,S01012275,3617,64.74,62.75,88.91,2270,1721,1684,1188,1526,6680,0.14,125,75.54,1,10.29,65.28,48.52,79.3
Rubislaw Place Medical Group - Aberdeen (30951),30951,S01006571,8480,67.26,76.85,81.87,6029,6230,6727,3853,6699,6283,0.02,25,69.7,1,13.4,65.42,51.04,71.8
Ryehill Medical Practice - Dundee (11414),11414,S01007691,5213,47.21,79.53,81.29,4777,4650,4349,183,2280,4854,0.05,75,95.03,1,30.23,77.61,53.19,71.7
Saltcoats Group Practice - Saltcoats (80556),80556,S01011239,10448,62.52,93.69,86.31,319,72,185,1455,1544,6565,0.31,205,57.94,1,0.98,64.45,52.56,67.7
Saltoun Surgery - Fraserburgh (31550),31550,S01007123,8401,33.34,72.91,68.4,3215,3059,2868,4932,2750,6791,0.09,95,61.47,1,7.04,63.42,50.72,79.5
Sandhead Surgery - Wigtownshire (18574),18574,S01007499,2436,93.11,100,95.88,2516,2844,2727,5032,2262,562,0.1,125,63.65,0,1.66,59.11,51.64,68.3
Scalasaig Medical Practice - Isle of Colonsay (84129),84129,S01007324,140,92.25,100,96.91,5122,6027.5,6071,3428,1994,89,0.03,50,61.11,0,6.1,51.43,50.71,75.8
Scalloway Health Centre LLP - Shetland (39087),39087,S01012404,3693,92.17,97.93,96.68,3808,3559,3474,1914,3629,4439,0.07,85,64.67,0,7.62,62.33,49.28,74.6
Scotstoun Medical Practice - Glasgow (40563),40563,S01010436,2082,64.55,84.48,75.85,381,284,472,292,776,6724,0.25,220,75.22,1,17.48,78.53,44.57,69.8
Scotstown Medical Group - Aberdeen (31206),31206,S01006779,12424,70.31,92.66,86.06,2505,3011,2851,1188,2178,4793,0.09,85,63.33,1,7.64,62.62,50.49,71.8
"Scourie, Kinlochbervie and Durness Medical Practice - Kinlochbervie (55304)",55304,S01010815,888,85.8,93.32,87.83,4176,4208,5316,3052.5,4839,180,0.06,65,59.67,0,3.11,62.95,46.51,78.6
Seafield & Cullen Medical Group - Moray (32622),32622,S01011081,6452,94.52,95.19,97.43,3084,2777,3703,3126,2945,5195,0.1,80,61.84,0,1.58,59.56,50.7,75.3
Selkirk Medical Practice - Selkirk (16085),16085,S01012384,7365,47.2,69.26,86.94,3269,2725,3586,6199.5,4690,4659,0.1,70,55.26,1,2.52,58.94,50.55,79.3
Shaftesbury Medical Practice - Glasgow (40210),40210,S01010425,1435,69.27,77.99,80.38,281.5,287,409,331,928,6944,0.25,225,71.67,1,10.66,71.01,49.48,69.8
Shawlands Surgery - Glasgow (49271),49271,S01009918,5970,77.48,73.31,89.87,5097,5002,5639,5472,6183,6674,0.04,55,65.56,1,15.8,74.76,52.08,69.8
Shebburn Medical Practice - New Abbey (18254),18254,S01007595,2795,100,99.44,96.95,3122,2490.5,4206,4348,4325,430,0.11,95,63.47,0,5.02,61.82,51.16,68.3
Sheddens Medical Practice - Glasgow (49197),49197,S01008377,2476,91.08,93.98,93.8,6096,6471,6537,6390,6909,6867,0.02,45,64.8,1,6.7,63.89,50.93,73.6
Shields Medical Practice - Glasgow (49801),49801,S01009875,3954,37.84,67.32,66.58,922,1205,1186,114,2005,6135,0.16,185,66.63,1,58.13,79.77,33.79,69.8
Sighthill Green Medical Practice - Edinburgh (70911),70911,S01008468,10149,59.26,84.53,86.06,3468,3832,2914,1762,651,4287,0.07,80,58.3,1,14.6,67.72,49.82,73.9
Silverbank Surgery - Cambuslang (60124),60124,S01012845,2745,86.92,97.99,92.6,3495.5,3087,2766,5853,5600,5929,0.09,120,61.92,1,4.38,69.07,51.22,76.9
Simpson Medical Group - Bathgate (78132),78132,S01013414,8742,72.42,76.71,86.37,2535,2547,1620,2588,2190,4977,0.11,125,56.25,1,10.48,68.57,50.41,74.5
Skene Medical Group - Aberdeen (32209),32209,S01006941,15096,72.98,89.98,86.07,5955.5,5251.5,6255,5799,5547,3529,0.04,35,63.96,1,7.83,63.57,50.35,79.5
Skerryvore Practice - Orkney (38012),38012,S01011817,8538,83.19,76.89,93.53,4468,5083,5175,5842,5466,1187,0.04,60,59.96,0,0.96,63.48,50.53,83.7
Slamannan Medical Practice - Stirlingshire (25474),25474,S01009184,2072,84.13,93.63,87.55,1260,992,1124,3346,1181,2317,0.18,170,62.37,0,2.64,65.73,49.76,75.2
Slateford Medical Practice - Edinburgh (70997),70997,S01008492,10672,67.09,81.44,91.26,2977,3169,3062,1011,2124,5825,0.09,125,83.97,1,18.96,75.89,49.02,73.9
Small Isles Medical Practice - Isle of Eigg (55677),55677,S01010504,199,94.9,92.45,100,4504,5972.5,6674,2038,5057,6,0.03,30,57.46,0,2.07,60.8,52.26,78.6
Solway Medical Group - Kirkcudbright (18199),18199,S01007527,6446,83.62,90.39,97.05,4782,3145,4236,5501,3845,6618,0.09,80,54.07,0,0.51,55.23,51.55,68.3
South Beach Medical Centre - Ardrossan (80005),80005,S01011243,8537,44.75,75.28,79.63,83,27,71,1644,604,4518,0.34,240,66.07,1,1.93,64.16,51.05,67.7
South Harris Medical Practice - Isle Of Harris (90101),90101,S01009023,565,98.7,98.47,98.49,3278,3773,4951,4808,6080,55,0.07,65,54.73,0,2.46,53.81,50.09,81
South Queensferry Medical Practice - South Queensferry (78171),78171,S01009008,12578,82.64,85.54,91.39,4994,5045,5191,5738,5682,6199,0.04,45,59.76,1,3.6,64.33,50.81,73.9
South Skye Medical Practices - Isle of Skye (56523),56523,S01010673,2910,85.6,91.64,98.77,3202,3221,3095,1968,2777,983,0.08,85,63.14,0,4.82,60.93,49.28,78.6
South Uist Medical Practice - Isle Of South Uist (90134),90134,S01009017,1011,83.71,91.16,90.07,3157,2721,3129,4803,4842,1096,0.1,100,57.6,0,0.96,58.75,48.66,81
Southern Machars Practice - Whithorn (18611),18611,S01007511,3159,91.87,99.29,92.96,837,1416,2349,1802,2012,3990,0.15,155,58.1,0,2.9,55.71,49.64,68.3
Southfield Medical Practice - Edinburgh (70126),70126,S01008712,4529,84.1,94.55,90.25,167,48,299,943,102,4235,0.32,220,54.72,1,14.17,64.41,50.72,73.9
Southside Road Surgery - Inverness (55874),55874,S01010626,4774,84.17,92.7,95.83,4748,2793,4576,5438,5102,4714,0.1,75,52.77,1,4.19,64.12,51.09,78.6
Springfield Medical Practice - Glasgow (43059),43059,S01008111,9329,63.97,85.16,93.83,5701,5193,4497,5191,6248,3794,0.04,70,56.4,1,4.49,63.54,51.9,75.9
Springwell Medical Group - Edinburgh (71082),71082,S01008498,10953,74.94,94.75,93.5,3072,2493,2695,32,2207,6755,0.11,125,84.25,1,24.22,83.12,47.79,73.9
St Brycedale Surgery - Fife (20983),20983,S01009479,7387,66.98,93.78,79.29,2902,2190,2835,2645,4811,5795,0.12,95,62.29,1,11.94,64.48,50.95,70.4
St Leonard's Medical Centre - Edinburgh (70841),70841,S01008681,8050,72.73,90.91,82.8,3464,4181,3635,148,1472,6207,0.06,115,89.83,1,30.18,87.74,55.33,73.9
St Luke's Medical Practice - Carluke (62223),62223,S01012602,11430,67.07,83.8,89.53,836,781,594,4931,3287,5539,0.19,180,61.67,1,1.19,63.67,50.82,76.9
St Margaret's Health Centre - Auchterarder (10361),10361,S01011854,10708,85.34,89.89,90.16,5502,4802.5,5206,5244,4721,6528,0.05,65,48.9,1,8.64,62.04,50.18,75.3
St Michaels Medical Centre - Dumfries (18273),18273,S01007611,6624,82.11,99.23,86.57,1363,1214.5,1064,2359.5,3422,6696,0.16,145,55.54,1,7.63,63.33,51.06,68.3
St Ronan's Practice - Innerleithen (16121),16121,S01012266,4743,71.02,88.58,93.01,3602,3738,3992,5572,3780,4557,0.07,75,56.52,1,2.55,61.29,50.5,79.3
St Serf's Practice - Kinross (13481),13481,S01011834,9920,62.15,80.6,79.18,5642,5862,6336,6890,6050,1221,0.03,50,59.79,0,1.99,61.02,51.46,75.3
St Triduana's Medical Practice - Edinburgh (70785),70785,S01008742,11513,73.62,88.65,86.37,3578,4005,3234,4244.5,4988,6733,0.06,95,57.68,1,8.26,67.9,51.81,73.9
Stanley Medical Centre - Perthshire (14569),14569,S01011996,4250,60.31,85.9,92.42,3167.5,2930,3005,4106.5,3015,1857,0.09,115,59.85,0,5.92,63.29,49.84,75.3
Station Road Medical Practice - Prestwick (80537),80537,S01012518,10373,76.72,94.31,93.3,4347,3886,3730,5019,4735,6622,0.07,75,59.51,1,2.31,61.84,50.27,71.9
Stenhouse Practice - Stenhousemuir (25597),25597,S01009100,3074,63.7,84.43,80.85,1703,1521,907,2379,2619,6621,0.15,150,58.3,1,1.92,66.79,51.59,75.2
Stepps Surgery - Stepps (60088),60088,S01011703,3491,84.64,84.44,95.45,5435,5833,5052,5010,6532,1761,0.03,55,59.87,1,4.75,69.41,50.67,69.7
Stevenston Group Practice - Stevenston (80701),80701,S01011268,4606,56.82,87.34,82.23,2610,2267,2196,2898,3574,6829,0.12,95,55.2,1,3.2,63.72,49.96,67.7
Stewarton Medical Practice - Stewarton (80594),80594,S01007935,10750,65.66,88.11,89.23,1702,1634,2280,1766,3936,6548,0.14,130,64.16,1,2.86,62.7,51.13,73
Stonehaven Medical Group - Stonehaven (32425),32425,S01006833,13084,56.63,94.48,86.2,6424.5,6954,6322,6289,6930,6110,0.01,35,57.84,1,5.71,63.54,50.45,79.5
Stow & Lauder Health - Stow (16550),16550,S01012272,4706,85.6,85.16,94.23,4805.5,4576,4433,3846,6027,1454,0.05,60,62.03,0,4.46,62.45,49.6,79.3
Strathcalder Practice - East Kilbride (61644),61644,S01012922,8119,61.05,85.95,86.28,4382,3701,3798,4108,5164,3877,0.07,85,67.25,1,1.68,66.42,48.95,76.9
Strathdon Medical Centre - Strathdon (31812),31812,S01006791,792,99.34,100,99.22,4251,3932,6269,4152,4192,100,0.06,45,62.98,0,2.05,62.75,49.75,79.5
Strathesk Medical Group - Bonnyrigg (77271),77271,S01010983,8702,46.73,84.26,82.2,3132,2908.5,2908,4417,3188,5380,0.09,100,62.77,1,3.08,62.77,52.05,77.4
Strathgryffe Medical Practice - Houston (87146),87146,S01012030,10503,59.92,63.53,91.46,6737,6783,6448,4603.5,5388,750,0.01,30,64.67,0,3.95,61.06,50.64,77.1
Strathmore Surgery - Blairgowrie (10445),10445,S01011993,3744,70.2,94.84,84.51,1337,2210,1619,1080,1546,6969,0.12,150,63.83,0,13.95,60.63,49.79,75.3
Strathpeffer Medical Practice  - Ross & Cromarty (55412),55412,S01010696,3840,87.25,97.07,91,3893,3908,3899,4288,3566,1856,0.07,80,60.7,0,6.27,61.8,51.28,78.6
Stromness Surgery - Orkney (38027),38027,S01011805,3084,98.12,100,99.42,5379,5788,5990,1181,3819,5418,0.03,45,66.37,0,5.61,60.47,51.36,83.7
Summerside Medical Practice - Edinburgh (70747),70747,S01008821,6356,82.9,85.84,93.29,4771,5969,6428,2118.5,6435,6708,0.03,35,66.89,1,15.87,73.32,49.28,73.9
Taiglum Medical Practice - Drongan (80720),80720,S01007889,8917,68.17,95.14,86.27,2099,1859,1710,2420,1222,2643,0.13,145,58.61,1,0.38,62.49,50.58,73
Tain & District Med Group - Tain (55427),55427,S01010753,3012,66.24,89.35,93.32,1743,1081,2178,4634,2161,2818,0.17,155,60.41,0,2.39,60.29,50.4,78.6
Tain & Fearn Area Med Practice - Tain (55431),55431,S01010753,5775,76.38,90.95,90.19,1743,1081,2178,4634,2161,2818,0.17,155,60.41,0,2.39,58.65,50.3,78.6
Tam's Brig Surgery - Ayr (80058),80058,S01012487,7947,53.98,78.34,79.32,2324,2079,2277,2638,3100,6635,0.12,125,62.1,1,4.25,65.09,50.42,71.9
Tannahill Surgery - Paisley (87485),87485,S01012067,3288,49.06,73.27,72.82,9,26,30,481,26,5790,0.35,290,66.23,1,3.37,69.19,47.26,77.1
Tanyard Medical Practice - Cumnock (80171),80171,S01007918,13690,55.59,82.92,83.62,1559,1233,1007,3563,2490,5532,0.16,150,64.3,0,1.19,61.94,50.45,73
Tarbert Medical Practice - Tarbert (84740),84740,S01007322,1759,98.31,97.28,96.61,2922,3146,4089,2544,3205,6051,0.09,90,61.56,0,3.42,60.94,49.52,75.8
Tay Court Surgery - Dundee (11058),11058,S01007691,8526,66.71,93.3,79.5,4777,4650,4349,183,2280,4854,0.05,75,95.03,1,30.23,79.15,50.35,71.7
Taybank Medical Centre - Dundee (11128),11128,S01007732,9404,63.93,87.34,87.53,2022.5,2209,2071,707,425,6970,0.12,135,75.61,1,19.65,66.43,51.05,71.7
Taynuilt Medical Practice - Argyll (84191),84191,S01007301,5210,84.28,92.16,90.84,4830,4091,5017,5228,5274,602,0.06,55,57.6,0,5.28,61.86,50.38,75.8
Tayview Medical Practice - Newport-On-Tay (21609),21609,S01009754,9434,48.35,76.4,85.74,4091,4459,4668,4074,6562,6075,0.05,65,58.16,1,3.4,60.03,51.3,70.4
Templehill Surgery - Troon (80607),80607,S01012566,10873,76.6,76.36,92.82,2406,1945,2352,2887,4720,6918,0.13,90,62.09,1,6.15,57.46,51.73,71.9
Terra Nova Medical Practice LLP - Dundee (11650),11650,S01007728,6095,77.45,93.41,88.66,727,852,1551,123,164,6972,0.19,165,77.01,1,26.91,65.89,51.14,71.7
Teviot Medical Practice - Hawick (16545),16545,S01012366,11288,59.62,67.08,85.82,2427,2041,1980,3938,1964,6436,0.12,95,57.5,1,2.66,61.39,50.02,79.3
The Abbey Practice - Arbroath (10233),10233,S01007187,6243,72.53,94.82,84,1345,2018,2101,1290.5,1708,6923,0.13,120,65.52,1,9.7,63.93,50.7,72.2
The Avon Medical Practice - Larkhall (63616),63616,S01012664,13259,43.14,82.52,81.28,2941,2714,2173,3557,3350,5970,0.1,125,62,1,2.75,64.3,52.07,76.9
The Barony Medical Centre - Glasgow (43133),43133,S01010225,5638,71.75,65.79,94.22,845,569,746,280,1202,5743,0.21,185,71.86,1,26.48,71.3,47.36,69.8
The Barony Practice - Paisley (87606),87606,S01012153,6162,75.92,90.2,88.97,797,447,284,458,1388,6230,0.22,215,77.97,1,9.48,71.28,49.45,77.1
The Blue Practice - Crieff (10017),10017,S01011870,6620,85.35,89.53,93.89,2829,2414,2918,2117,4248,5922,0.11,110,62.52,0,4.45,60.73,49.38,75.3
The Broomhill Practice - Glasgow (40121),40121,S01010415,6839,86.16,96.23,97.58,1108,709,754,1010,3301,6447,0.2,180,70.19,1,10.89,71.41,50.97,69.8
The Bute Practice - Rothesay (84646),84646,S01007348,6324,75.03,88.35,88.96,1616,1358,1805,2443.5,2823,5890,0.15,140,58.29,0,1.15,56.42,50.21,75.8
The Cairns Practice - Glasgow (46081),46081,S01010147,9586,60.63,86.09,82.97,138,267,98,667,55,6941,0.25,250,69.96,1,6.61,67.48,50.31,69.8
